,symbol,emoji,kline,alert_price,Time_(MSK),resist_level,n_touches,conf_level,resist_length,max_ratio_p
0,KAVAUSDT,🌊🌊🌊,2 kline,0.8744,2023-12-07 20:15:22.452000,0.873,14.0,0.0,28.0,1.452
1,INJUSDT,💥💥💥,1 kline,18.217,2023-12-07 20:09:44.997000,18.15,1.0,0.0,1.0,2.75
2,BNXUSDT,🌊🌊🌊,2 kline,0.3057,2023-12-07 20:09:41.819000,0.3049,3.0,0.0,8.0,1.897
3,ONTUSDT,💥💥💥,1 kline,0.2372,2023-12-07 20:06:40.487000,0.2368,5.0,0.0,12.0,1.433
4,BATUSDT,🌊🌊🌊,2 kline,0.2479,2023-12-07 20:05:01.332000,0.244,2.0,0.0,12.0,0.444
5,ALPHAUSDT,💥💥💥,1 kline,0.10403,2023-12-07 19:57:58.706000,0.10332,6.0,0.0,3.0,1.596
6,UMAUSDT,💥💥💥,1 kline,2.051,2023-12-07 19:52:25.894000,2.057,1.0,0.0,1.0,3.559
7,CHRUSDT,💥💥💥,1 kline,0.1533,2023-12-07 19:52:24.416000,0.1519,6.0,0.0,25.0,0.391
8,1000PEPEUSDT,💥💥💥,1 kline,0.0016426,2023-12-07 19:50:31.075000,0.0016264,1.0,0.0,1.0,0.712
9,IOTXUSDT,💥💥💥,1 kline,0.03429,2023-12-07 19:49:55.638000,0.03421,2.0,0.0,2.0,0.029
10,WAXPUSDT,💥💥💥,1 kline,0.06734,2023-12-07 19:47:31.877000,0.06714,5.0,0.0,12.0,0.371
11,FETUSDT,💥💥💥,1 kline,0.5283,2023-12-07 19:44:33.341000,0.521,1.0,0.0,1.0,1.647
12,ARUSDT,💥💥💥,1 kline,8.418,2023-12-07 19:43:52.413000,8.269,3.0,0.0,4.0,1.176
13,BONDUSDT,💥💥💥,1 kline,3.775,2023-12-07 19:36:45.380000,3.754,7.0,0.0,21.0,0.45
14,1000LUNCUSDT,💥💥💥,1 kline,0.20675,2023-12-07 19:35:31.200000,0.20444,3.0,0.0,3.0,0.837
15,1000FLOKIUSDT,💥💥💥,1 kline,0.04188,2023-12-07 19:31:01.936000,0.04132,3.0,0.0,35.0,0.597
16,PHBUSDT,💥💥💥,1 kline,0.8625,2023-12-07 19:30:59.392000,0.8587,5.0,0.0,37.0,0.719
17,STEEMUSDT,💥💥💥,1 kline,0.2626,2023-12-07 19:29:55.857000,0.2609,9.0,1.0,50.0,0.762
18,GTCUSDT,🌊🌊🌊,2 kline,1.183,2023-12-07 19:24:03.423000,1.174,2.0,0.0,7.0,0.592
19,WLDUSDT,💥💥💥,1 kline,2.4734,2023-12-07 19:23:25.078000,2.4352,9.0,0.0,21.0,2.175
20,ONEUSDT,💥💥💥,1 kline,0.01564,2023-12-07 19:22:34.038000,0.01537,2.0,0.0,3.0,0.448
21,ARPAUSDT,💥💥💥,1 kline,0.05388,2023-12-07 19:18:48.473000,0.05358,4.0,0.0,5.0,0.742
22,DUSKUSDT,💥💥💥,1 kline,0.17729,2023-12-07 19:17:44.235000,0.17618,5.0,0.0,39.0,0.846
23,XVGUSDT,💥💥💥,1 kline,0.003846,2023-12-07 19:15:46.697000,0.003802,3.0,0.0,4.0,1.118
24,OXTUSDT,💥💥💥,1 kline,0.08414,2023-12-07 19:15:32.877000,0.0841,1.0,0.0,1.0,0.297
25,HOTUSDT,💥💥💥,1 kline,0.002018,2023-12-07 19:13:27.485000,0.002014,5.0,0.0,17.0,2.032
26,CTSIUSDT,🌊🌊🌊,3 kline,0.164,2023-12-07 19:12:41.940000,0.1616,2.0,0.0,3.0,2.561
27,CFXUSDT,💥💥💥,1 kline,0.1996,2023-12-07 19:10:59.858000,0.1976,4.0,0.0,12.0,1.303
28,OPUSDT,💥💥💥,1 kline,2.0403,2023-12-07 19:04:43.150000,1.9536,2.0,0.0,2.0,5.622
29,ICXUSDT,💥💥💥,1 kline,0.2671,2023-12-07 19:03:47.241000,0.2662,7.0,0.0,17.0,3.819
30,BALUSDT,💥💥💥,1 kline,4.26,2023-12-07 19:02:31.735000,4.257,6.0,0.0,26.0,2.23
31,LPTUSDT,💥💥💥,1 kline,6.767,2023-12-07 18:59:23.600000,6.755,4.0,0.0,21.0,2.941
32,LQTYUSDT,💥💥💥,1 kline,1.5409,2023-12-07 18:58:51.242000,1.537,4.0,0.0,2.0,1.376
33,CELRUSDT,🌊🌊🌊,2 kline,0.01702,2023-12-07 18:56:18.892000,0.01696,3.0,0.0,4.0,5.17
34,1000BONKUSDT,🌊🌊🌊,2 kline,0.010805,2023-12-07 18:53:26.054000,0.010431,1.0,0.0,1.0,6.33
35,SUSHIUSDT,💥💥💥,1 kline,1.3087,2023-12-07 18:53:06.756000,1.3018,4.0,0.0,8.0,2.575
36,SNXUSDT,💥💥💥,1 kline,3.775,2023-12-07 18:50:39.557000,3.765,6.0,0.0,11.0,2.543
